,message,HateSpeech
4840,"Was die für Zahlen angeben ist doch uninteressant.  Es müssen mehr und mehr werden, bis denen die Mengen der Demonstraten im Hals stecken bleiben.",0
4841,Wir fordern das Misstrauensvotum gegen Herr Sigmar Gabriel - Bitte auf Facebook und Twitter teilen : https://www.change.org/p/sofortige-amtsenthebung-herr-gabriel-herr-gabriel-handelt-unverantwortlich-und-wir-fordern-das-misstrauensvotum-gegen-herr-gabriel,0
4842,"So - jetzt sind wir endlich die letzten in Europa, die aufnehmen. Und unsere Kanzlerin will sie jetzt alle direkt zu uns bringen, GUTE NACHT Deutschland. Was vorangegangene Kaiser und DIKTATOREN nicht geschafft haben - schafft DIKTATORIN A. Merkel, so kommt der nächste Bürgerkrieg !!! A. Merkel zerstört unsere Nation !!!!!!!!!!!!!!!!!!!!!!",0
4843,Es kommen genau so aus emalige sowietunion asiaten und kaukasija geben sich als syra und afgahner aus genau so kommen auch die terroristen,0
4844,tja der lügen sender und so was sollen wir auch noch finanzieren mit unseren GEZ gebühren diese w.......,0
4845,"Wenn die das Bildmaterial gefälscht haben, wie sieht es dann aus mit dem Bericht ? Und wenn die das machen, machen das auch die anderen Medien ? Sieht so dieser hoch gelobte professionelle Journalismus aus ?",0
4846,Die Klebers lügen bis sie selbst dran glauben.,0
4847,"Ich Fasse es nicht,das immer noch viele nicht Wissen das die Medien seit Ende des 2Wk in Amerikanischer Hand sind,und wir immer noch Besatzungsland sind! Rafft endlich mal,das wenn wir keinen Friedensvertrag haben,wir nur Lakaien der Alliierten sind. Sie machen mit uns was sie wollen.",0
4848,Hi hi,0
4849,:D jaj,0
4850,"Diejenigen, die sehr viel wissen, haben auch dies gewusst, Ihr Volldeppen der Medien.",1
4851,Wer ist ARD??????,0
4852,"Wer all das geglaubt hat, ist selbst Schuld",0
4853,"Sie lassen es aber nicht die Wichser. Wenn Berichte kommen,siehst du nur Frauen und Kinder.",1
4854,"Naja, dann hat das Wort Lügenpresse durchaus Berechtigung.",1
4855,"https://m.youtube.com/watch?feature=youtu.be&v=yZzYfH1vpto

Hoch interessant!!!!",0
4856,Wer einmal lügt dem glaubt man nicht und wenn er auch die Wahrheit spricht!,0
4857,Noch Fragen.https://www.facebook.com/jungundnaiv/videos/1120276397984307/,0
4858,wenn ich dieses bild so sehe drängt sich mir die frage auf  .... alles fachkräfte ?,0
4859,"So ein Schmarrn!
Die sagen uns doch immer die Wahrheit!
Ironie ende!",0
4860,"woher kommt der Name ""LÜGENPRESSE""?? lach....",0
4861,"wer einmal lügt, dem glaubt man nicht",0
4862,Ist uns doch eh schon allen klar.,0
4863,Na sowas aber auch...schlimmer wie die Kommunisten???,0
4864,"ARD, VW, Regierung , Gabriel,  Merkel! Was kommt als nächstes??????",0
4865,"jetzt waren es wieder die bösen Korrespondenten vor Ort..., und von wem empfangen die Ihre Befehle was gesendet werden darf?",0
4866,Ist das die hsv mannschaft für 2016?,0
4867,Propagandasender halt...,0
4868,"„80 Prozent der Flüchtlinge junge, kräftig gebaute alleinstehende Männer sind“ - Und da wundern wir uns das die Vergwaltigungen steigen? Alle sofort wieder heimfliegen!",0
4869,"wer der ARD noch was glaubt, der gehört wohl auch NOCH zu den letzten CDU Wählern...",0
4870,Die Nachrichten schau ich mir nicht mehr.,0
4871,"und derweil bitten die nächsten höflich und anstandsvoll um asyl :D

http://www.focus.de/politik/ausland/wollen-nach-deutschland-1000-fluechtlinge-durchbrechen-absperrung-an-oesterreichischem-grenzuebergang_id_5036096.html?utm_source=facebook&utm_medium=social&utm_campaign=facebook-focus-online&fbc=facebook-focus-online&ts=201510231642",0
4872,Ach was...^^,0
4873,Jetzt auf einmal...,0
4874,"Die wollen die Familie nachholen,  weil die Flucht zu gefährlich für 4 Frauen und 32 Kinder ist.",0
4875,"Wie immer werden wir belogen,. betrogen u. verraten !!!",0
4876,wer heute irgendwas noch glaubt was in fehrnsehr kommt der ist wieso falsch in der birne sry,0
4877,"Es geht hier nicht um falsche Bilder, es geht um Propaganda,  welche auch mit für das entstandene Chaos und dessen zukünftige Folgen verantwortlich ist.",0
4878,"Habe heute wieder einen GEZ-Brief bekommen, Antwort auf meinen Widerspruch vor 5 Monaten. Diese Raubritter können es nicht lassen, von mir bekommen sie nichts. Staatsfernsehen soll der Staat bezahlen. sie können mir ruhig die Wohnungstur aufbrechen per Gericht. Eine Riesenschande für Deutschland !!! Warum lassen wir uns das bieten?",0
4879,Dreck ist Dreck mehr kommt eh nicht.,1
4880,Ist doch nichts Neues. Und dafür bekommt Ihr noch Geld?,0
4881,Ach was.... lach!,0
4882,Naja jetzt brauchen se habe nicht mehr laufen.merkel will sie ja alle einfliegen lassen.,0
4883,Guck an. Aber es ändert sich trotzdem nix.,0
4884,LÜGENPRESSE eben.,1
4885,80 % Männer !!!! Weil sie einfach nur Feiglinge sind ...die lieber ihre Frauen und Kinder im Krieg zurück lassen ...anstatt sie nicht an die Hand zu nehmen um zusammen ins nächste sicherer Land zu gehen ..Ich würde so einen Mann nur noch ins Gesicht spucken der so Eier los ist ..Pfui Teufel,0
4886,"Sehr traurig, was aus der ARD geworden ist. Korrupt, nur Lug und Trug. 
Und dafür wollen sie noch Geld. Es ist wie China und Türkei. 
Sehr besorgniserregend ! Wo bleibt Meinungsfreiheit und Demokratie?",0
4887,Das stimmt. ...ein schönes Familienbild......das auch alle glauben sollen......von wegen. .....die Wahrheit haben wir schon lange gewusst ihr dummen Politiker. .....!!!!!!!,1
4888,"Lieber ARD!
Lügen haben kurze Beine !",0
4889,"Auf dem Bild sieht man, welche Leute tatsächlich in den Asylantenheimen bei uns zu finden sind. Frauen und Kinder sind die große Ausnahme, die meisten sind Schwarzafrikaner, männlich, zwischen 20 und 30 und telefonieren ständig mit ihrem Smartphone. Das ist die Wahrheit, ich habe es selbst gesehen - alles andere sind nur Märchen der Regierung, die der Lage längst nicht mehr Herr ist und (berechtigte) Panik in der Bevölkerung vermeiden möchte.",0
4890,"man muss es auch mal so sehen ,die ddr hat es auch versucht ,fachkräfte aus angola ,mosambique ,algerien usw. zu gewinnen -es ist nix gut gegangen ! einzig die fleissigen vietnamesen haben was gebracht !  die ddr hat die notbremse noch rechtzeitig gezogen !  warum begreift das hier niemand mehr ----!?",0
4891,"Liebe ARD !
Lügen haben KURZE Beine !",0
4892,Die Meldung ist mittlerweile uralt (nach Maßstäben des Internetzeitalters) und durchgekaut wie Kälbchenkaka. Gähn.,0
4893,"nein das ist doch jetzt nicht euer ernst ? wer hätte das den gedacht jetzt bin ich aber geschockt und pigiert ,Ein falsches bild wie kann das den passieren wo sind meine Beruhigungspillen ARD hat mich jetzt in eine ganz schwere Krise gebracht !!",0
4894,"Na nu wirds Eis wohl dünne, ni nur für die Grünen und Roten auch für die Öffentlichen Medien.",0
4895,Das ist alles strafbar was unsere Politiker hier machen. .....aber den darf man ja nichts anhaben. .....aber wehe wenn du was verbockst.......!!!!!!!,0
4896,"Die Flucht ist für Frauen und Kinder zu gefährlich. Die sind bis zum Familiennachzug bei Assad oder Isis gut aufgehoben. 
SO WERDEN WIR VERARSCHT",0
4897,Da ist die Aktuelle Kamera ein Dreck dagegen.,0
4898,"Als wenn wir das nicht schon längst gewusst hätten, ihr müßt uns ja für sehr blöde halten! Aber ARD und ZDF schau ich eh schon seit Jahren nicht mehr :-) nur zahlen darf ich für etwas das ich nicht nutze :-(",0
4899,Och,0
4900,Wasist mit diesem Antrag!?!? muss ich aus Sachsen kommen? oder kann das jeder ausfüllen???????????,0
4901,Neues Propaganda  der Gutmenschen,0
4902,Komisch...erst werden wir belogen und nun ....,0
4903,? wenn es nicht so traurig wäre... Ich würde einmal im Kreise grinsen,0
4904,Da wollen wohl welche ihre Köpfe retten ?! Wer zu spät kommt den bestraft das leben,0
4905,"Leute, es gibt noch schlimmeres wie ARD, das ist der MDR. die übelste Schande für Sachsen. Mit welchen Sünden haben diesen MÜLL verdient? Die Intendantin kassiert über 300 000 Euro im Jahr. Ich frage mich, warum die Leute so dumm sind und GEZ zahlen. Dann heißt es: Da können wir doch nichts dagegen machen. Die Leute haben keinen Mut, sich zu wehren.",0
4906,"Ich bin ein Christ syrischen, traurig über das, was in Europa geschieht, weil diese Muslime sind keine Flüchtlinge, weil die meisten von ihnen nahmen an der Tötung und Schlachtung der Christen in Syrien",0
4907,"Was wird dieses Jahr das""Wort"" des Jahres werden?    
Da wird ein Wort gar nicht ausreichen.....aber nach Worten folgen Taten......hoffentlich baldigst die die unser Deutschland retten!",0
4908,Ist heute der 01.04.? http://deutsche-wirtschafts-nachrichten.de/2015/10/23/merkel-will-fluechtlinge-direkt-nach-deutschland-holen/,0
4909,Denken die wirklich wir sehen nicht was um uns los ist....??????,0
4910,"Ach, wie kommt das nur ...",0
4911,Ach nein wie kommt es denn dachte wir wären in der DDR,0
4912,Diese Wichser bekommen bald den Zorn des Volkes zu spüren aber dann Gnade euch Gott.,1
4913,"Lügenmedien.  Alle vor Gericht stellen.  Für so einen Schwindel soll man dann noch 17,50 im Monat bezahlen.",1
4914,kraftig gebaute Manner sind Sie nicht eher dicken couch potatoes.,0
4915,"Am Montag zur CEGIDA Demo meinte ein Sprecher, die Sendung JAUCH müsste umbenannt werden in JAUCHE. Da es wie alles reine Verblödung ist. Der Mann hat es auf den Punkt gebracht!",0
4916,"Wenn die Burschen Asyl bekommen werden die verheimliche Ehegattinen und übrig gebliebene Verwandte holen darunter sehr viele Kranke und Invaliden. Wir sollen nicht vergessen dass Muslime heiraten Blutverwandte und dadurch in jede Familie gibt Invaliden. Genetisch bedingte DEFEKTEN. Aus diesen Grund werden auch  ""Arbeitsunfähig"" und Sozialbezieher fähig..",0
4917,Das ist extrém .Merkel stop das scheiz mache unsere Europa !!!,0
4918,"Deswegen kommt es ja auch zu den Gruppenvergewaltigungen in Schweden und Norwegen. Man will uns nicht in Angst und Schrecken versetzen bzw. eine Panik vermeiden ... Da wird eben ""meinungslenkender Progagandismus"" angewandt - da hätte der Joseph Goebbels seine reine Freude dran :-) Bald geht es richtig rund im Land der Dichter und Denker ... junge, kräftige Männer, die sich gegen unsere Männer stellen. Während die sich ja nur verteidigen, sind unsere Jungs wieder böse Agressoren. Psychologische Kriegsführung gegen das eigene Volk - Pfui Teufel.",0
4919,"NICHTS NEUES. Wie sagte noch Peter Scholl-Latour in seinem letzten Interview: ""Die manipulieren (lügen), in einer unerträglichen Weise"". Dieses ganze System ist auf Lug und Betrug aufgebaut. Wer das noch nicht bemerkt hat, dem ist nicht mehr zu helfen.",0
4920,"Wer sich jetzt hinstellt und sagt er wusste das nicht, der ist von allen guten geistern verlassen oder Gutmensch",0
4921,"Wir können hier schreiben, was wir wollen. Es interessiert die Mächtigen und Medien-Gurus einen DRECK. Die lachen doch nur und werden jeden Tag reicher für diese Verblödung. Wir dürfen für Mindestlohn rackern. Jeden Tag wird meine Wut auf diese Zustände größer. Man fühlt sich hilflos ausgeliefert diesem Schweinesystem.",1
4922,"Im Landtag Dresden haben sie nur eine Sorge: Wie sie das 25j. Jubiläum feiern, mit Schampus vom feinsten. Und Kaviar. Das Volk, das ihren Luxus zahlt mit harter Arbeit, ist ihnen reichlich egal.",0
4923,""" ARD räumt ein: In den Berichten.... "" Ja dann muß doch eigentlich der Herr Innenminister mit der ganzen Härte der deutschen gesetze , denn sowas trieft doch dann vor Hetze , Verdummung , Volksverhetzung ?????????",0
4924,Ich sage nur Zensur der Diktatorin Merkel,0
4925,"Manner sollen Asyl verbot bekommen.Manner soll in ihre heimat bleiben und ihre Land verteidigen.extrem feigen muslimische manner hauen ab und lassen frauen und kindern und rentner alleine zuruck.In ukraine ziehen leute von ost ukraine einfach um zu sicheren west ukraine.Syrer konnen entweder umziehen zu sicheren teil von syrien oder in Turkei oder saudi arabien asyl bekommen.Gulf staaten schwimmen in Geld aber nehmen keinen einzigen fluchtlinge auf.Saudi arabien und gulf staaten sollen gezwungen syrer asyl zu geben,die liefern nur Waffen aber nehmen keine syrer.syrer sind araber und gehoren in arabische lander.Turkei konnte sowieso in privat wohnungen ihre muslim glaubensgeschwister aufnehmen.Diktator Erdogan schickt lieber syrer zu seine treuen Pudelhundin Merkel",0
4926,Grenzen dicht machen noch ist Zeit aber nicht mehr lange.,0
4927,Wendehälse,0
4928,ARD und ZDF kann man in die Tonne klopfen. Da rollen sich die Fussnägel hoch.,0
4929,"Spiegel TV auf RTL !!! Wie Migranten mit der Asylindustrie die deutschen Steuerzahler brutal abzocken. Die Stadt Köln macht es möglich. Pro Person zahlt die Stadt Köln für jeden Flüchtling 756,- Euro monatlich für kleinste, dezentrale Unterkünfte. Für eine Familie vom Balkan macht sie das schon seit 4 Jahren. Diese wurde immer noch nicht abgeschoben. Ab ca. 10:00 min http://www.spiegel.tv/#/filme/magazin-vom-11102015/",0
4930,"Ich seh dieses ""volk"" taeglich hier ankommen zu fuss ! Da is nix familie !!!! Deggendorf - passau ! Weg mit denen dieses viehzeug is undankbar und fuehrn sich auf als waere deutschland schon ihen deren haenden :-(",1
4931,In deren haenden,0
4932,"regierungstreuen Propaganda Medien zeigen immer bilder von Kleinkindern.WARUM SCHWEIGEN Sie dann uber ABTREIBUNG? Warum interessiert sie die schicksal von unschuldigen Deutsche Babies nicht? Merkel erlaubt Todestrafe fur 100,000 Babies jedes jahr und sagt ihre Partei sei ""christlich"" Warum schweigen die Medien uber BABYMORD? Ausser Geert Wilders sagt niemand was gegen abtreibung.Was fur brutale heuchlerei. Warum gibts kein asyl fur Deutsche Babies? Haben Babies kein Menschenrechte?",0
4933,"Es wird immer deutlicher -die Altparteien wollen sich die Mühe sparen,uns zu überzeugen.Sie wollen uns deshalb austauschen.Es ist der Wunsch deutlich erkennbar-den Rechten die Staatsbürgerschaft zu entziehen-und sie Kindern zu schenken.Kindern?Tauber ist kinderlos und unverheiratet.Will er vlelleicht unbewusst deshalb eine muslimische Gesellschaft,weil er von der Ehe mit einem 10-jährigen Mädchen träumt? Herr Tauber -outen Sie sich.Das Volk hat einen Anspruch,ihre wahren Motive zu kennen.-Peter Tauber ist Generalsekretär der CDU.:""Wenn derzeit in Deutschland Flüchtlingskinder malen, dann greifen sie oft zu den Stiften, die ihnen erlauben, eine Deutschlandfahne zu malen. Oft färben sie auch die Autos und Häuser schwarz-rot-gold ein.
Sie kennen unsere Fahne, aber sie wissen nichts über die Bedeutung der Farben. Aber sie geben ihnen unbewusst ihre historische Bedeutung zurück. Für die Flüchtlingskinder sind die Farben Schwarz-Rot-Gold die Farben der Freiheit, des Friedens und der Hoffnung. Das sollte uns stolz machen. Wir sollten ihnen diese Farben schenken.

Sie haben viel mehr einen Anspruch darauf und das Versprechen der Farben auf eine gute Zukunft, auf die Hoffnung, mit Fleiß etwas zu erreichen und sicher und behütet aufzuwachsen, als diejenigen, die unter unserer Fahne Hass und Angst verbreiten. Nehmen wir denen unsere deutsche Fahne weg. Sie ist zu schön dafür.
Peter Tauber ist Generalsekretär der CDU.",0
4934,"das neue asylrecht gilt schon ab morgen  - gerade im radio gehört  - kein bzw. kaum noch bargeld  --- da lernen wir die ""schutzbedürftigten ""   mal so richtig kennen !",0
4935,Merkel fuhrt Krieg gegen BABIES durch abtreibung.Warum gibts kein asyl fur Babies? Warum erlaubt Merkel der todestrafe fur Babies in deutsche krankenhausern.ich dachte arzte schworen ein eid leben zu schutzen.abtreibung ist der schlimmste Verbrechen in geschichte der Menschheit.Was konnte mehr abgrundlich bose als Muttern und vatern die ihre eigenes Baby hinrichten.Dass ist unglaublich grausam und kaltherzig.Merkel ist Schuld an Massenmord von Millionen wehrlosen unschuldigen Babies.Gott werde Merkel bestrafen fur dieser unschuldiges Blut,0
4936,Staatssender das hatten wir doch schon mal,0
4937,"Frau Merkel wie konnen Sie mit ihre Gewissen leben? Millionen ermordeten Babies lasten auf dein Gewissen.Merkel Sie sind die Knecht von Satan und sie sind das abslolut gegenteil von ein ""Christ"" Nehmen dieser zynische ""C"" weg und ersetzte es mit S fur Partei von satan amen",1
4938,"Mir hat es kaum einer geglaubt..Aber diese Drecksratten geben jetzt  zu,  uns belogen zu haben..und dies ist nicht das einzige Mal gewesen. ...",1
4939,Nichts anderes als in der DDR .,0
4940,"Es war  bei Migrationsbewegungen zu allen Zeiten so, dass junge Männer überproportional häufig beteiligt sind. In vielen Familien, die in Gefahr geraten, reichen die Ressourcen einfach nicht aus, um mehr als einem Mitglied die Flucht nach Europa zu finanzieren. Aus verschiedenen Gründen werden eher die jungen Männer als Frauen oder Ältere und Kinder auf den Weg geschickt. Für Männer erscheinen die Chancen höher, die Strapazen solch einer oft langen Reise zu überstehen. Darüber hinaus kümmern sich in vielen Fällen Frauen um den Nachwuchs und bleiben aus diesem Grund eher in den Herkunftsländern zurück.",0
4941,"Austria capitulates against the invasion on it's southern front! 217.000 crossed in just the last month, thousands more are crossing right now!
http://www.welt.de/politik/ausland/article147919613/Oesterreich-kapituliert-vor-Fluechtlingen-aus-Slowenien.html
And they are coming to do this:
http://www.liveleak.com/view?i=4fe_1369316735",0
4942,"Hat eigentlich jemand Fotos vom Altmarkt letzten Montag im Netz gefunden,also von den angeblich 20000 Gegendemonstranten??? Ich find irgenwie nix nur von uns auf dem Theaterplatz!",0
4943,Das machen doch alle so. Lügen.LügenLügen,0
4944,Hier ist auch ein falsche asylan: https://www.facebook.com/This.is.Christian.Syria2/photos/a.1636758389909201.1073741830.1628636400721400/1641770576074649/?type=3&theater,0
4945,"(Video, 3 min) Völkerwanderung nach Deutschland http://www.politikversagen.net/voelkerwanderung-nach-deutschland",0
4946,Lügen Lügen das ganze Land besteht nur noch aus Lügen,0
4947,"Als ob sich die ""Volksverarsche"" nur auf die Flüchtlinge beschränkt! Ähnlich verhält es sich auch bei Pegida! Da wird nicht das Bild der Masse (normale Bürger) gezeigt, sondern gezielt ein paar glatzköpfige Mitläufer oder Leute die irgendwelchen Mist brüllen! Die Urinbeutel werfende Antfa wird garnicht erwähnt...Wenn dann die Menschen ""Lügenpresse"" rufen, zeigen sich die Reporter dann auch noch empört.",1
4948,"ach neeeeeeeee?? endlich wird das zugegegen?? grad die, die interviewtwerden, sind doch imme rjunge gesunde menschen.  und dann will man nichts von wirtschaftsflüchtlingen sagen??",0
4949,Jetzt wo es zu spät .... Puuuuuust das Fähnchen im Wind.,0
4950,"Die lügen und verschweigen was das Zeug hält. Der Protestmarsch von 100.000 Italiener, die mit der Asylpolitik nicht einverstanden sind wird nicht mal erwähnt.",0
4951,"Langsam merken die Pfeifen, dass ihnen keiner mehr glaubt und deswegen versuchen die nach und nach auf unsere Seite zu wechseln. Tja... Sollten die sich mal die Geschichte von dem jungen durchlesen, der immer ""ein Wolf"" geschrien hat.",1
4952,"Seit gestern kann weder Die Bundes Regierung von Östereich noch von Deutschland sagen, sie würden Bürgerkriegsflüchtlingen Helfen. Nein dies ist vorsätzliche Beihilfe zur Einschleusung von hoch kriminellen Brandstiftern und Nötigern , Erpressern, Gewalttätern und Gewaltverherlichern. Dazu ein Bruch des Grundgesetzes, also HOCHVERRAT! In den Knast mit dieser Parteien - Michboche und zwar Lebenslang und das selbe gilt für alle die sowas unterstützen, ob in der Justiz oder bei den Sicherheitskräften. Lasst uns diesen Abschaum der unsere beide Völker regiert zum Teufel jagen und zwar ohne Gnade!!!!!!!!!!!!!!!",1
4953,"Was für eine Überraschung, wirklich unglaublich! Ironie off",0
4954,"Aaaaah, drohte das Feuerchen wieder auszugehen?",0
4955,"Bei den Flüchtlingen gibt es kaum Fußkranke, obwohl der Weg von Syrien nach Deutschland ca. 3000 km weit ist. 90 % der eingekehrten Flüchtlinge sind junge kräftige Männer, die weder ihr Land gegen oder für Assad verteidigen. Wer sind eigentlich die Rebellen, die dieses Chaos verursacht haben und von wem wurden sie finanziert. Sind es die gleichen Friedensengel die Lybien unrechtmäßig bombardierten ohne Mandat der Un und ohne je zur Rechenschaft gezogen wurden. Politiker dürfen ihr Recht so auslegen, wie sie es wollen. So konnte Frau Merkel ihren Eid auf das deutsche Volk und die Schengener Verträge brechen. Heute wundern sich die Medien, dass über uns mit großer Schadenfreude gelacht wird. Mit dieser geschwätzigen Bundeskanzlerin haben wir nichts besseres verdient.",0
4956,"Mit Kindern kann man Mitleid erhalten, mit jungen Maennern nicht ( kleine Armee).So viel hat die BRD nicht.",0
4957,Ach so nachdem das schon alle Zeitungen sogar bis auf die letzten Regionalzeitung in Hinterkleckersdorf das melden räumt es die ARD ein ? Da hat wohl einer Angst das sich der Wind dreht ?,0
4958,Wundert mich nicht wirklich,0
4959,Das ist mir auch schon aufgefallen das Uralte Bilder gezeigt werden...,0
4960,"Die scheinen sich gerade alle zu ""drehen"". Jump hat heute sogar über die Vergewaltigungen in Dresden und Magdeburg berichtet. Irgendwas ist hier komisch!",0
4961,"Diese Leute bringen uns Kultur,das ich nicht lache,Kummer und Leid bringen die über uns.",0
4962,Was ist falsch und was ist die Warheit? Ich glaube an die Wahrheit! https://m.youtube.com/watch?feature=youtu.be&v=5bfHGBzxT1Q,0
4963,Solche Heuchler.,1
4964,Wer guckt eigentlich noch die offiziellen Nachrichten?,0
4965,"Das ist das Wahre Bild der Flüchtlinge!!! Meinem Freund, seine Tochter wurde Heute Morgen von einem dieser Drecksäcke Überallen,ein 10 Jähriges Mädchen!!! Ich habe Wut!!!                                                                                                                                  Meine Tochter Selina wurde heute um 6.30 Uhr in der Früh in der Herrengasse in Graz von einem südländischen Typen von hinten angegriffen und in eine kleine Gasse gezerrt. Dort warf er sie zu Boden und durchsuchte Ihre Taschen. Meine Tochter schrie um Hilfe und dieser Typ sagte zu Ihr sie soll ruhig sein sonst tut er ihr was. Er hat ihre 10 euro Taschengeld genommen und in diesem Moment kamen 2 ältere Damen und er lief weg. Hat irdenwer diesen Vorfall beobachtet: Ich möchte mich bei den beiden Damen bedanken. Es wurde sofort eine Fahndung ausgeschrieben aber der Beamte sagte mir es ist im Moment schwierig weil ein Großteil der Polizei an der Grenze ist um , ACHTUNG DAS SIND JETZT MEINE WORTE , diese scheiß Flüchtlinge zu beschützen. Die Kripo werdet alle Videoaufzeichnungen von der Herrengasse und von den Strassenbahnen aus. Ich hoffe das ich das Bildmaterial zu gesicht bekomme. Und dann Gnade dir Gott dem südländischen Typen. Meine Tochter steht noch immer unter Schock und ist Fertig. Und falls hier jetzt ein depperter Kommentar von einem gutmenschen dazu kommt soll er mir rede und antwort stehen. Christian Budja",1
4966,"Wegen Bedrohung musste die Polizei in einer Kieler Augenarztpraxis anrücken. Ein 31-Jähriger, der seinen zwei Jahre alten Sohn zur Behandlung begleitete, beschimpfte eine Medizinerin als „unrein“. Als die Ärztin die Behandlung abbrach, soll der Mann angekündigt haben, sich zu überlegen, wie er der 53-Jährigen schaden könne. In Timmendorfer Strand wurden drei aus dem Kosovo stammende Männer beim Versuch, aus einem Geschäft eine 600 Euro teure Hose zu stehlen, von der Polizei erwischt. Für große Aufmerksamkeit sorgte eine Körperverletzung in Lübeck: „Ein afghanischer Staatsangehöriger schlug in der Innenstadt seine ihm lediglich nach muslimischen Recht angetraute Frau mehrfach ins Gesicht.“ Passanten schritten ein und alarmierten die Polizei.http://www.kn-online.de/News/Aktuelle-Nachrichten-Politik/News-Aktuelle-Nachrichten-Politik/Landeskriminalamt-Drohungen-Diebstahl-Schlaege",0
4967,"Sind Sie damit einverstanden, daß alles was unsere Eltern, Großeltern hier aufgebaut haben, von Frau Merkel mit ihrem Sturkopf binnen kürzester Frist zerstört wird, daß wir im eigenen Land nicht mehr leben können? Wenn Nein, dann unterzeichnen Sie für den Rücktritt dieser Frau! Bereits über 180.000 Unterzeichner!: https://www.change.org/p/wir-fordern-den-r%C3%BCcktritt-der-bundeskanzlerin-dr-a-merkel-und-sofortige-neuwahl-der-bundesregierung-resignation-of-the-german-chancellor-dr-a-merkel-and-immediate-reelection-of-the-german-government?source_location=petitions_share_skip",0
4968,Die ARD nutzt halt ihre zwangsfinanzierte Monopolstellung schamlos aus - personale Konsequenzen und Rückerstattung von Gebühren müssten die Folge sein. Darauf kann man allerdings lange warten.,0
4969,"Na, sone Überraschung, ich bin total geschockt  *Ironie aus*",0
4970,"sind doch alles untergeordnete lügenabteilungen,pfui teufel",0
4971,Ups ....    wollen die sich bessern? Glauben die wir vergessen?,0
4972,Ihr hurensöhne wegen euren Demos die nichts bringen ist die halbe Stadt lahmgelegt????,1
4973,ich glaube ja nicht das menschen in sachsen dummer sind  als in nrw von daher hätte man sich den beitrag hier sparen können .,0
4974,"Was PEGIDA und das Deutsche Volk immer sagt, LÜGENPRESSE",1
4975,... und damit weiterhin diese Märchen verbreitet werden können müssen natürlich die Gebühren erhöht werden!,0
4976,"Ich liefere  Elektrogeräte  aus.  Vor 4 Wochen 10 Waschmaschinen 8 Elktroherde  Heute  waren wir wieder da 4 Waschmaschinen 6 Herde  an den Waschmaschinen das Bullauge  abgerissen  an den Herden Ceranfeld eingeschlagen  und Herd klappen abgerissen  Das sind keine  Menschen  das  sind
Schweine.... Nee sorry Schweine  sind sauberer.  Wir haben uns geweigert die Altgeräte  zu entsorgen  so versaut waren die absolute Seuchen Gefahr.",1
4977,"Früher hieß es: Frauen und Kinder zuerst! So langsam müssen die Leute, die sich bislang der Volksverdummung schuldig gemacht haben, in vorderster Front Regierungsparteien und deren angeschlossene Presse, einräumen, dass die Ausländerschwemme, die unser schönes Land überspült, sich größtenteils aus Glücksrittern und Wirtschaftsasylanten zusammensetzt. Ich lasse mich mit Emotionen, es handele sich um die ärmsten Schweine des Planeten, nicht mehr die Sinne rauben. Danke für den Besuch und return to sender!",0
4978,Gez für verarsche Danke,0
4979,"Was sagt Ihr dazu?:
https://buergerstimme.com/Design2/2015/10/lutz-v-mann-von-pegida/",0
4980,"Tja, Leute, für Stimmungswechsel in Deutschland sorgen schon die Testosteronbomben aus Afrika und Orient. Hoffentlich erwischen sie zuerst die Gutmenschen.",0
4981,"Ach nee, was für eine Überraschung ?",0
4982,"Deutschland kann durchaus 1,5 Millionen Menschen aufnehmen, daran habe ich keine Zweifel. Leider 1,5 Millionen Muslime sind eine Zumutung, das kann und wird nicht funktionieren!",0
4983,"Ach nein wie kann das denn,die wollen uns doch alle verarschen ob Presse oder Volkverräter das ist nur noch zum Kotzrn und ganz oben steht Merkel.",0
4984,https://www.facebook.com/gio.dipietro.1/posts/1696146583951000 So sieht es in Italien aus und schlimmer,0
4985,woher kommt all der scheiße die ficken wie die Kanickel,1
4986,"Is doch klar....Sonst würde das Volk die Regierung verreisen....Die lügen uns die Taschen voll.....Aber wir werden sehen wie lang noch die das schaffen....Die Realität kommt in jede Ecke Deutschlands die Kommunen sind voll und es kommen immer mehr...
Und das ausschließlich junge kräftige Männer....",0
4987,"Ich schau nur noch Kochsendungen und Filme, schon lange keine Nachrichten mehr. Ist alles Lüge!",0
4988,Lügenpresse /-medien.......,1
4989,Ich vergaß: The Voice?,0
4990,"In Österreich ist das wahrscheinlich noch schlimmer, aber unser in der Wolle gefärbter linksgrüner Staatsfunk wird das niemals eingestehen.",0
4991,"also wer ""auch die Gutmenschen"" jetzt immer noch nicht begriffen hat das die Medien lügen, lässt sich beim Frisur wohl das Hirn schneiden ;)",0
